Size of array: 6000
| Key:10002 Asn:100020  | Key:10003 Asn:100030  | Key:10004 Asn:100040  | Key:10010 Asn:100100  | Key:10011 Asn:100110  
| Key:11004 Asn:110040  | Key:11012 Asn:110120  | Key:11016 Asn:110160  | Key:11023 Asn:110230  | Key:11025 Asn:110250  
| Key:11027 Asn:110270  | Key:11028 Asn:110280  | Key:11033 Asn:110330  | Key:11034 Asn:110340  | Key:11035 Asn:110350  
| Key:11036 Asn:110360  | Key:11039 Asn:110390  | Key:11045 Asn:110450  | Key:11052 Asn:110520  | Key:11056 Asn:110560  
| Key:11059 Asn:110590  | Key:11061 Asn:110610  | Key:11063 Asn:110630  | Key:11064 Asn:110640  | Key:11066 Asn:110660  
| Key:11068 Asn:110680  | Key:11070 Asn:110700  | Key:11071 Asn:110710  | Key:11072 Asn:110720  | Key:11074 Asn:110740  
| Key:11075 Asn:110750  | Key:11076 Asn:110760  | Key:11080 Asn:110800  | Key:11081 Asn:110810  | Key:11085 Asn:110850  
| Key:11090 Asn:110900  | Key:11091 Asn:110910  | Key:11092 Asn:110920  | Key:11093 Asn:110930  | Key:11094 Asn:110940  
| Key:11095 Asn:110950  | Key:11101 Asn:111010  | Key:11105 Asn:111050  | Key:11108 Asn:111080  | Key:11113 Asn:111130  
| Key:11120 Asn:111200  | Key:11134 Asn:111340  | Key:11146 Asn:111460  | Key:11147 Asn:111470  | Key:11151 Asn:111510  
| Key:11156 Asn:111560  | Key:11158 Asn:111580  | Key:11162 Asn:111620  | Key:11167 Asn:111670  | Key:11168 Asn:111680  
| Key:11169 Asn:111690  | Key:11175 Asn:111750  | Key:11182 Asn:111820  | Key:11183 Asn:111830  | Key:11186 Asn:111860  
| Key:11187 Asn:111870  | Key:11189 Asn:111890  | Key:11191 Asn:111910  | Key:11192 Asn:111920  | Key:11193 Asn:111930  
| Key:11194 Asn:111940  | Key:11195 Asn:111950  | Key:11197 Asn:111970  | Key:11199 Asn:111990  | Key:11208 Asn:112080  
| Key:11209 Asn:112090  | Key:11213 Asn:112130  | Key:11214 Asn:112140  | Key:11218 Asn:112180  | Key:11221 Asn:112210  
| Key:11222 Asn:112220  | Key:11223 Asn:112230  | Key:11227 Asn:112270  | Key:11233 Asn:112330  | Key:11237 Asn:112370  
| Key:11241 Asn:112410  | Key:11242 Asn:112420  | Key:11245 Asn:112450  | Key:11246 Asn:112460  | Key:11252 Asn:112520  
| Key:11255 Asn:112550  | Key:11260 Asn:112600  | Key:11261 Asn:112610  | Key:11269 Asn:112690  | Key:11271 Asn:112710  
| Key:11275 Asn:112750  | Key:11281 Asn:112810  | Key:11283 Asn:112830  | Key:11286 Asn:112860  | Key:11289 Asn:112890  
| Key:11290 Asn:112900  | Key:11297 Asn:112970  | Key:11299 Asn:112990  | Key:11301 Asn:113010  | Key:11305 Asn:113050  
| Key:11310 Asn:113100  | Key:11311 Asn:113110  | Key:11315 Asn:113150  | Key:11316 Asn:113160  | Key:11321 Asn:113210  
| Key:11324 Asn:113240  | Key:11327 Asn:113270  | Key:11334 Asn:113340  | Key:11342 Asn:113420  | Key:11343 Asn:113430  
| Key:11344 Asn:113440  | Key:11346 Asn:113460  | Key:11348 Asn:113480  | Key:11352 Asn:113520  | Key:11355 Asn:113550  
| Key:11356 Asn:113560  | Key:11359 Asn:113590  | Key:11369 Asn:113690  | Key:11371 Asn:113710  | Key:11373 Asn:113730  
| Key:11379 Asn:113790  | Key:11381 Asn:113810  | Key:11382 Asn:113820  | Key:11387 Asn:113870  | Key:11388 Asn:113880  
| Key:11399 Asn:113990  | Key:11401 Asn:114010  | Key:11405 Asn:114050  | Key:11413 Asn:114130  | Key:11414 Asn:114140  
| Key:11417 Asn:114170  | Key:11425 Asn:114250  | Key:11428 Asn:114280  | Key:11440 Asn:114400  | Key:11443 Asn:114430  
| Key:11454 Asn:114540  | Key:11456 Asn:114560  | Key:11457 Asn:114570  | Key:11464 Asn:114640  | Key:11468 Asn:114680  
| Key:11471 Asn:114710  | Key:11473 Asn:114730  | Key:11474 Asn:114740  | Key:11476 Asn:114760  | Key:11478 Asn:114780  
| Key:11481 Asn:114810  | Key:11483 Asn:114830  | Key:11488 Asn:114880  | Key:11496 Asn:114960  | Key:11500 Asn:115000  
| Key:11501 Asn:115010  | Key:11502 Asn:115020  | Key:11504 Asn:115040  | Key:11508 Asn:115080  | Key:11509 Asn:115090  
| Key:11510 Asn:115100  | Key:11511 Asn:115110  | Key:11512 Asn:115120  | Key:11515 Asn:115150  | Key:11527 Asn:115270  
| Key:11533 Asn:115330  | Key:11534 Asn:115340  | Key:11535 Asn:115350  | Key:11536 Asn:115360  | Key:11545 Asn:115450  
| Key:11546 Asn:115460  | Key:11548 Asn:115480  | Key:11549 Asn:115490  | Key:11552 Asn:115520  | Key:11555 Asn:115550  
| Key:11559 Asn:115590  | Key:11560 Asn:115600  | Key:11563 Asn:115630  | Key:11571 Asn:115710  | Key:11574 Asn:115740  
| Key:11576 Asn:115760  | Key:11577 Asn:115770  | Key:11583 Asn:115830  | Key:11585 Asn:115850  | Key:11588 Asn:115880  
| Key:11594 Asn:115940  | Key:11604 Asn:116040  | Key:11611 Asn:116110  | Key:11612 Asn:116120  | Key:11614 Asn:116140  
| Key:11617 Asn:116170  | Key:11620 Asn:116200  | Key:11622 Asn:116220  | Key:11627 Asn:116270  | Key:11634 Asn:116340  
| Key:11637 Asn:116370  | Key:11640 Asn:116400  | Key:11646 Asn:116460  | Key:11650 Asn:116500  | Key:11651 Asn:116510  
| Key:11652 Asn:116520  | Key:11659 Asn:116590  | Key:11665 Asn:116650  | Key:11667 Asn:116670  | Key:11669 Asn:116690  
| Key:11670 Asn:116700  | Key:11678 Asn:116780  | Key:11679 Asn:116790  | Key:11680 Asn:116800  | Key:11681 Asn:116810  
| Key:11690 Asn:116900  | Key:11691 Asn:116910  | Key:11692 Asn:116920  | Key:11693 Asn:116930  | Key:11696 Asn:116960  
| Key:11697 Asn:116970  | Key:11699 Asn:116990  | Key:11703 Asn:117030  | Key:11704 Asn:117040  | Key:11709 Asn:117090  
| Key:11713 Asn:117130  | Key:11715 Asn:117150  | Key:11717 Asn:117170  | Key:11718 Asn:117180  | Key:11719 Asn:117190  
| Key:11721 Asn:117210  | Key:11727 Asn:117270  | Key:11728 Asn:117280  | Key:11729 Asn:117290  | Key:11730 Asn:117300  
| Key:11731 Asn:117310  | Key:11732 Asn:117320  | Key:11735 Asn:117350  | Key:11737 Asn:117370  | Key:11738 Asn:117380  
| Key:11739 Asn:117390  | Key:11745 Asn:117450  | Key:11746 Asn:117460  | Key:11747 Asn:117470  | Key:11749 Asn:117490  
| Key:11754 Asn:117540  | Key:11757 Asn:117570  | Key:11759 Asn:117590  | Key:11765 Asn:117650  | Key:11769 Asn:117690  
| Key:11775 Asn:117750  | Key:11778 Asn:117780  | Key:11794 Asn:117940  | Key:11795 Asn:117950  | Key:11796 Asn:117960  
| Key:11797 Asn:117970  | Key:11799 Asn:117990  | Key:11804 Asn:118040  | Key:11807 Asn:118070  | Key:11812 Asn:118120  
| Key:11814 Asn:118140  | Key:11816 Asn:118160  | Key:11817 Asn:118170  | Key:11818 Asn:118180  | Key:11823 Asn:118230  
| Key:11824 Asn:118240  | Key:11828 Asn:118280  | Key:11829 Asn:118290  | Key:11833 Asn:118330  | Key:11835 Asn:118350  
| Key:11847 Asn:118470  | Key:11848 Asn:118480  | Key:11850 Asn:118500  | Key:11855 Asn:118550  | Key:11859 Asn:118590  
| Key:11861 Asn:118610  | Key:11867 Asn:118670  | Key:11871 Asn:118710  | Key:11875 Asn:118750  | Key:11878 Asn:118780  
| Key:11885 Asn:118850  | Key:11890 Asn:118900  | Key:11896 Asn:118960  | Key:11903 Asn:119030  | Key:11914 Asn:119140  
| Key:11917 Asn:119170  | Key:11922 Asn:119220  | Key:11929 Asn:119290  | Key:11931 Asn:119310  | Key:11932 Asn:119320  
| Key:11935 Asn:119350  | Key:11937 Asn:119370  | Key:11943 Asn:119430  | Key:11944 Asn:119440  | Key:11948 Asn:119480  
| Key:11950 Asn:119500  | Key:11954 Asn:119540  | Key:11956 Asn:119560  | Key:11960 Asn:119600  | Key:11961 Asn:119610  
| Key:11962 Asn:119620  | Key:11969 Asn:119690  | Key:11973 Asn:119730  | Key:11976 Asn:119760  | Key:11980 Asn:119800  
| Key:11983 Asn:119830  | Key:11984 Asn:119840  | Key:11985 Asn:119850  | Key:11986 Asn:119860  | Key:11991 Asn:119910  
| Key:11995 Asn:119950  | Key:11996 Asn:119960  | Key:12001 Asn:120010  | Key:12007 Asn:120070  | Key:12008 Asn:120080  
| Key:12011 Asn:120110  | Key:12012 Asn:120120  | Key:12014 Asn:120140  | Key:12020 Asn:120200  | Key:12021 Asn:120210  
| Key:12024 Asn:120240  | Key:12025 Asn:120250  | Key:12026 Asn:120260  | Key:12036 Asn:120360  | Key:12040 Asn:120400  
| Key:12042 Asn:120420  | Key:12045 Asn:120450  | Key:12049 Asn:120490  | Key:12050 Asn:120500  | Key:12051 Asn:120510  
| Key:12052 Asn:120520  | Key:12055 Asn:120550  | Key:12059 Asn:120590  | Key:12060 Asn:120600  | Key:12065 Asn:120650  
| Key:12067 Asn:120670  | Key:12073 Asn:120730  | Key:12074 Asn:120740  | Key:12076 Asn:120760  | Key:12085 Asn:120850  
| Key:12089 Asn:120890  | Key:12090 Asn:120900  | Key:12097 Asn:120970  | Key:12098 Asn:120980  | Key:12102 Asn:121020  
| Key:12103 Asn:121030  | Key:12105 Asn:121050  | Key:12106 Asn:121060  | Key:12110 Asn:121100  | Key:12113 Asn:121130  
| Key:12116 Asn:121160  | Key:12123 Asn:121230  | Key:12130 Asn:121300  | Key:12133 Asn:121330  | Key:12135 Asn:121350  
| Key:12136 Asn:121360  | Key:12138 Asn:121380  | Key:12140 Asn:121400  | Key:12143 Asn:121430  | Key:12151 Asn:121510  
| Key:12152 Asn:121520  | Key:12163 Asn:121630  | Key:12166 Asn:121660  | Key:12169 Asn:121690  | Key:12172 Asn:121720  
| Key:12175 Asn:121750  | Key:12179 Asn:121790  | Key:12182 Asn:121820  | Key:12183 Asn:121830  | Key:12190 Asn:121900  
| Key:12192 Asn:121920  | Key:12193 Asn:121930  | Key:12195 Asn:121950  | Key:12200 Asn:122000  | Key:12203 Asn:122030  
| Key:12210 Asn:122100  | Key:12211 Asn:122110  | Key:12213 Asn:122130  | Key:12215 Asn:122150  | Key:12216 Asn:122160  
| Key:12219 Asn:122190  | Key:12220 Asn:122200  | Key:12222 Asn:122220  | Key:12223 Asn:122230  | Key:12227 Asn:122270  
| Key:12228 Asn:122280  | Key:12235 Asn:122350  | Key:12237 Asn:122370  | Key:12240 Asn:122400  | Key:12241 Asn:122410  
| Key:12248 Asn:122480  | Key:12251 Asn:122510  | Key:12252 Asn:122520  | Key:12253 Asn:122530  | Key:12256 Asn:122560  
| Key:12259 Asn:122590  | Key:12260 Asn:122600  | Key:12265 Asn:122650  | Key:12269 Asn:122690  | Key:12272 Asn:122720  
| Key:12274 Asn:122740  | Key:12279 Asn:122790  | Key:12281 Asn:122810  | Key:12282 Asn:122820  | Key:12284 Asn:122840  
| Key:12285 Asn:122850  | Key:12288 Asn:122880  | Key:12290 Asn:122900  | Key:12293 Asn:122930  | Key:12295 Asn:122950  
| Key:12300 Asn:123000  | Key:12304 Asn:123040  | Key:12308 Asn:123080  | Key:12309 Asn:123090  | Key:12311 Asn:123110  
| Key:12313 Asn:123130  | Key:12314 Asn:123140  | Key:12316 Asn:123160  | Key:12319 Asn:123190  | Key:12330 Asn:123300  
| Key:12340 Asn:123400  | Key:12343 Asn:123430  | Key:12353 Asn:123530  | Key:12361 Asn:123610  | Key:12366 Asn:123660  
| Key:12370 Asn:123700  | Key:12372 Asn:123720  | Key:12377 Asn:123770  | Key:12378 Asn:123780  | Key:12380 Asn:123800  
| Key:12384 Asn:123840  | Key:12385 Asn:123850  | Key:12389 Asn:123890  | Key:12394 Asn:123940  | Key:12395 Asn:123950  
| Key:12406 Asn:124060  | Key:12410 Asn:124100  | Key:12414 Asn:124140  | Key:12415 Asn:124150  | Key:12417 Asn:124170  
| Key:12426 Asn:124260  | Key:12427 Asn:124270  | Key:12428 Asn:124280  | Key:12432 Asn:124320  | Key:12433 Asn:124330  
| Key:12435 Asn:124350  | Key:12439 Asn:124390  | Key:12444 Asn:124440  | Key:12447 Asn:124470  | Key:12449 Asn:124490  
| Key:12454 Asn:124540  | Key:12455 Asn:124550  | Key:12458 Asn:124580  | Key:12459 Asn:124590  | Key:12460 Asn:124600  
| Key:12464 Asn:124640  | Key:12466 Asn:124660  | Key:12467 Asn:124670  | Key:12470 Asn:124700  | Key:12473 Asn:124730  
| Key:12477 Asn:124770  | Key:12480 Asn:124800  | Key:12482 Asn:124820  | Key:12483 Asn:124830  | Key:12493 Asn:124930  
| Key:12494 Asn:124940  | Key:12497 Asn:124970  | Key:12500 Asn:125000  | Key:12502 Asn:125020  | Key:12512 Asn:125120  
| Key:12518 Asn:125180  | Key:12521 Asn:125210  | Key:12530 Asn:125300  | Key:12534 Asn:125340  | Key:12537 Asn:125370  
| Key:12539 Asn:125390  | Key:12541 Asn:125410  | Key:12542 Asn:125420  | Key:12545 Asn:125450  | Key:12546 Asn:125460  
| Key:12562 Asn:125620  | Key:12564 Asn:125640  | Key:12566 Asn:125660  | Key:12567 Asn:125670  | Key:12572 Asn:125720  
| Key:12575 Asn:125750  | Key:12576 Asn:125760  | Key:12578 Asn:125780  | Key:12580 Asn:125800  | Key:12581 Asn:125810  
| Key:12584 Asn:125840  | Key:12598 Asn:125980  | Key:12599 Asn:125990  | Key:12601 Asn:126010  | Key:12605 Asn:126050  
| Key:12607 Asn:126070  | Key:12611 Asn:126110  | Key:12618 Asn:126180  | Key:12619 Asn:126190  | Key:12626 Asn:126260  
| Key:12631 Asn:126310  | Key:12632 Asn:126320  | Key:12638 Asn:126380  | Key:12643 Asn:126430  | Key:12645 Asn:126450  
| Key:12653 Asn:126530  | Key:12658 Asn:126580  | Key:12662 Asn:126620  | Key:12666 Asn:126660  | Key:12669 Asn:126690  
| Key:12670 Asn:126700  | Key:12673 Asn:126730  | Key:12675 Asn:126750  | Key:12676 Asn:126760  | Key:12678 Asn:126780  
| Key:12680 Asn:126800  | Key:12682 Asn:126820  | Key:12683 Asn:126830  | Key:12686 Asn:126860  | Key:12688 Asn:126880  
| Key:12689 Asn:126890  | Key:12693 Asn:126930  | Key:12696 Asn:126960  | Key:12697 Asn:126970  | Key:12698 Asn:126980  
| Key:12703 Asn:127030  | Key:12704 Asn:127040  | Key:12706 Asn:127060  | Key:12708 Asn:127080  | Key:12712 Asn:127120  
| Key:12716 Asn:127160  | Key:12718 Asn:127180  | Key:12720 Asn:127200  | Key:12722 Asn:127220  | Key:12723 Asn:127230  
| Key:12726 Asn:127260  | Key:12737 Asn:127370  | Key:12738 Asn:127380  | Key:12745 Asn:127450  | Key:12747 Asn:127470  
| Key:12750 Asn:127500  | Key:12752 Asn:127520  | Key:12753 Asn:127530  | Key:12755 Asn:127550  | Key:12760 Asn:127600  
| Key:12761 Asn:127610  | Key:12766 Asn:127660  | Key:12774 Asn:127740  | Key:12775 Asn:127750  | Key:12779 Asn:127790  
| Key:12782 Asn:127820  | Key:12783 Asn:127830  | Key:12788 Asn:127880  | Key:12790 Asn:127900  | Key:12792 Asn:127920  
| Key:12793 Asn:127930  | Key:12794 Asn:127940  | Key:12798 Asn:127980  | Key:12800 Asn:128000  | Key:12803 Asn:128030  
| Key:12805 Asn:128050  | Key:12810 Asn:128100  | Key:12811 Asn:128110  | Key:12813 Asn:128130  | Key:12817 Asn:128170  
| Key:12818 Asn:128180  | Key:12820 Asn:128200  | Key:12821 Asn:128210  | Key:12823 Asn:128230  | Key:12824 Asn:128240  
| Key:12825 Asn:128250  | Key:12830 Asn:128300  | Key:12831 Asn:128310  | Key:12832 Asn:128320  | Key:12836 Asn:128360  
| Key:12838 Asn:128380  | Key:12847 Asn:128470  | Key:12850 Asn:128500  | Key:12852 Asn:128520  | Key:12853 Asn:128530  
| Key:12857 Asn:128570  | Key:12858 Asn:128580  | Key:12863 Asn:128630  | Key:12864 Asn:128640  | Key:12875 Asn:128750  
| Key:12876 Asn:128760  | Key:12877 Asn:128770  | Key:12878 Asn:128780  | Key:12879 Asn:128790  | Key:12880 Asn:128800  
| Key:12885 Asn:128850  | Key:12887 Asn:128870  | Key:12898 Asn:128980  | Key:12900 Asn:129000  | Key:12903 Asn:129030  
| Key:12904 Asn:129040  | Key:12908 Asn:129080  | Key:12909 Asn:129090  | Key:12910 Asn:129100  | Key:12911 Asn:129110  
| Key:12912 Asn:129120  | Key:12914 Asn:129140  | Key:12916 Asn:129160  | Key:12918 Asn:129180  | Key:12924 Asn:129240  
| Key:12929 Asn:129290  | Key:12932 Asn:129320  | Key:12934 Asn:129340  | Key:12935 Asn:129350  | Key:12937 Asn:129370  
| Key:12940 Asn:129400  | Key:12942 Asn:129420  | Key:12943 Asn:129430  | Key:12944 Asn:129440  | Key:12948 Asn:129480  
| Key:12949 Asn:129490  | Key:12956 Asn:129560  | Key:12957 Asn:129570  | Key:12960 Asn:129600  | Key:12967 Asn:129670  
| Key:12968 Asn:129680  | Key:12972 Asn:129720  | Key:12973 Asn:129730  | Key:12980 Asn:129800  | Key:12989 Asn:129890  
| Key:12992 Asn:129920  | Key:12995 Asn:129950  | Key:12999 Asn:129990  | Key:13000 Asn:130000  | Key:13002 Asn:130020  
| Key:13010 Asn:130100  | Key:13013 Asn:130130  | Key:13014 Asn:130140  | Key:13017 Asn:130170  | Key:13022 Asn:130220  
| Key:13024 Asn:130240  | Key:13026 Asn:130260  | Key:13028 Asn:130280  | Key:13033 Asn:130330  | Key:13034 Asn:130340  
| Key:13039 Asn:130390  | Key:13042 Asn:130420  | Key:13043 Asn:130430  | Key:13045 Asn:130450  | Key:13049 Asn:130490  
| Key:13059 Asn:130590  | Key:13061 Asn:130610  | Key:13063 Asn:130630  | Key:13064 Asn:130640  | Key:13066 Asn:130660  
| Key:13074 Asn:130740  | Key:13075 Asn:130750  | Key:13076 Asn:130760  | Key:13081 Asn:130810  | Key:13082 Asn:130820  
| Key:13084 Asn:130840  | Key:13085 Asn:130850  | Key:13095 Asn:130950  | Key:13096 Asn:130960  | Key:13100 Asn:131000  
| Key:13102 Asn:131020  | Key:13109 Asn:131090  | Key:13118 Asn:131180  | Key:13119 Asn:131190  | Key:13125 Asn:131250  
| Key:13127 Asn:131270  | Key:13132 Asn:131320  | Key:13134 Asn:131340  | Key:13141 Asn:131410  | Key:13143 Asn:131430  
| Key:13145 Asn:131450  | Key:13146 Asn:131460  | Key:13149 Asn:131490  | Key:13157 Asn:131570  | Key:13162 Asn:131620  
| Key:13163 Asn:131630  | Key:13170 Asn:131700  | Key:13172 Asn:131720  | Key:13173 Asn:131730  | Key:13187 Asn:131870  
| Key:13192 Asn:131920  | Key:13195 Asn:131950  | Key:13202 Asn:132020  | Key:13206 Asn:132060  | Key:13210 Asn:132100  
| Key:13212 Asn:132120  | Key:13215 Asn:132150  | Key:13217 Asn:132170  | Key:13219 Asn:132190  | Key:13220 Asn:132200  
| Key:13222 Asn:132220  | Key:13225 Asn:132250  | Key:13230 Asn:132300  | Key:13232 Asn:132320  | Key:13234 Asn:132340  
